Región,Bosque nativo (ha),Plantación forestal (ha),Bosque mixto (ha)
Arica y Parinacota,47151,21,0
Tarapacá,33246,29264,0
Antofagasta,11899,3050,0
Atacama,3224,276,0
Coquimbo,48475,12285,886
Valparaíso,413765,76602,1185
Metropolitana,383558,9288,510
O'Higgins,428776,159310,2153
Maule,581515,634894,28675
Ñuble,247980,380715,17052
Biobío,597573,875178,51636
La Araucanía,1045619,652646,43124
Los Ríos,935017,211722,13762
Los Lagos,2791762,98362,12407
Aysén,4398745,32017,1083
Magallanes,2760177,286,0
